,support,itemsets
0,0.2158702558466342,frozenset({'yearly_income_$10K - $30K'})
1,0.044837409710033194,frozenset({'yearly_income_$110K - $130K'})
2,0.05433528540104876,frozenset({'yearly_income_$130K - $150K'})
3,0.019280086175314272,frozenset({'yearly_income_$150K +'})
4,0.3291722029931705,frozenset({'yearly_income_$30K - $50K'})
5,0.16938698512163514,frozenset({'yearly_income_$50K - $70K'})
6,0.12300760595572033,frozenset({'yearly_income_$70K - $90K'})
7,0.044110168796443625,frozenset({'yearly_income_$90K - $110K'})
8,0.5104356337111705,frozenset({'gender_F'})
9,0.4895643662888295,frozenset({'gender_M'})
10,0.25556776737039527,frozenset({'education_Bachelors Degree'})
11,0.051338834117988,frozenset({'education_Graduate Degree'})
12,0.29537463843003453,frozenset({'education_High School Degree'})
13,0.09334383184877763,frozenset({'education_Partial College'})
14,0.3043749282328046,frozenset({'education_Partial High School'})
15,0.39546595364249276,frozenset({'homeowner_N'})
16,0.6045340463575073,frozenset({'homeowner_Y'})
17,0.008655807264753968,frozenset({'product_brand_American'})
18,0.019214470453787394,frozenset({'product_brand_BBB Best'})
19,0.02306392611669756,frozenset({'product_brand_Best Choice'})
20,0.015436098489198012,frozenset({'product_brand_Better'})
21,0.020865799445547152,frozenset({'product_brand_Big Time'})
22,0.011854573689189263,frozenset({'product_brand_Bird Call'})
23,0.01355511447209418,frozenset({'product_brand_Blue Label'})
24,0.013030188699879158,frozenset({'product_brand_Booker'})
25,0.013582454356063712,frozenset({'product_brand_Bravo'})
26,0.016830432571644165,frozenset({'product_brand_CDR'})
27,0.014019892499576232,frozenset({'product_brand_Carlson'})
28,0.02127589770509014,frozenset({'product_brand_Carrington'})
29,0.011685066408578162,frozenset({'product_brand_Club'})
30,0.005194577954211162,frozenset({'product_brand_Colony'})
31,0.012117036575296775,frozenset({'product_brand_Consolidated'})
32,0.020472105116385884,frozenset({'product_brand_Cormorant'})
33,0.008705019055899127,frozenset({'product_brand_Cutting Edge'})
34,0.01959722882936085,frozenset({'product_brand_Denny'})
35,0.02864126244648218,frozenset({'product_brand_Ebony'})
36,0.01263649437071789,frozenset({'product_brand_Even Better'})
37,0.007458320346888448,frozenset({'product_brand_Excellent'})
38,0.007305216996659066,frozenset({'product_brand_Fabulous'})
39,0.005872607076655567,frozenset({'product_brand_Fantastic'})
40,0.022402300924634876,frozenset({'product_brand_Fast'})
41,0.011723342246135507,frozenset({'product_brand_Faux Products'})
42,0.02246244866936785,frozenset({'product_brand_Fort West'})
43,0.019411317618368028,frozenset({'product_brand_Golden'})
44,0.005632016097723682,frozenset({'product_brand_Good'})
45,0.012270139925526157,frozenset({'product_brand_Gorilla'})
46,0.006659995734978101,frozenset({'product_brand_Great'})
47,0.005085218418333033,frozenset({'product_brand_Gulf Coast'})
48,0.02920993203304845,frozenset({'product_brand_Hermanos'})
49,0.0195589529918035,frozenset({'product_brand_High Quality'})
50,0.027011805361898043,frozenset({'product_brand_High Top'})
51,0.013418415052246519,frozenset({'product_brand_Hilltop'})
52,0.022938162650437712,frozenset({'product_brand_Horatio'})
53,0.019870627669056173,frozenset({'product_brand_Imagine'})
54,0.013987084638812793,frozenset({'product_brand_Just Right'})
55,0.009131521245823832,frozenset({'product_brand_Lake'})
56,0.017880284116074213,frozenset({'product_brand_Landslide'})
57,0.005746843610395717,frozenset({'product_brand_Modell'})
58,0.01002280146323059,frozenset({'product_brand_Moms'})
59,0.005325809397264918,frozenset({'product_brand_Musial'})
60,0.024102841707539794,frozenset({'product_brand_Nationeel'})
61,0.005402361072379609,frozenset({'product_brand_Pearl'})
62,0.01895747554447379,frozenset({'product_brand_PigTail'})
63,0.01832865821317454,frozenset({'product_brand_Plato'})
64,0.014019892499576232,frozenset({'product_brand_Pleasant'})
65,0.0051781740238294426,frozenset({'product_brand_Portsmouth'})
66,0.008442556169791615,frozenset({'product_brand_Red Spade'})
67,0.021161070192418103,frozenset({'product_brand_Red Wing'})
68,0.007234133298338282,frozenset({'product_brand_Skinner'})
69,0.005998370542915416,frozenset({'product_brand_Sphinx'})
70,0.01285521344247415,frozenset({'product_brand_Steady'})
71,0.02161491226631234,frozenset({'product_brand_Sunset'})
72,0.01978314004035367,frozenset({'product_brand_Super'})
73,0.02795229737044996,frozenset({'product_brand_Tell Tale'})
74,0.005768715517571343,frozenset({'product_brand_Thresher'})
75,0.0068951187371160795,frozenset({'product_brand_Token'})
76,0.027881213672129177,frozenset({'product_brand_Tri-State'})
77,0.006020242450091042,frozenset({'product_brand_Washington'})
78,0.4393519353903862,frozenset({'recyclable_N'})
79,0.5606480646096138,frozenset({'recyclable_Y'})
80,0.6473100288162377,frozenset({'low_fat_N'})
81,0.3526899711837623,frozenset({'low_fat_Y'})
82,0.10835342814805093,"frozenset({'yearly_income_$10K - $30K', 'gender_F'})"
83,0.10751682769858324,"frozenset({'gender_M', 'yearly_income_$10K - $30K'})"
84,0.0051781740238294426,"frozenset({'education_Bachelors Degree', 'yearly_income_$10K - $30K'})"
85,0.008475364030555054,"frozenset({'yearly_income_$10K - $30K', 'education_High School Degree'})"
86,0.20072942810430713,"frozenset({'yearly_income_$10K - $30K', 'education_Partial High School'})"
87,0.09330555601122029,"frozenset({'homeowner_N', 'yearly_income_$10K - $30K'})"
88,0.1225646998354139,"frozenset({'homeowner_Y', 'yearly_income_$10K - $30K'})"
89,0.005008666743218342,"frozenset({'yearly_income_$10K - $30K', 'product_brand_Best Choice'})"
