support,itemsets
0.004197240974464338,frozenset({'Great English Muffins'})
0.004109186968007044,frozenset({'Carrington Ice Cream'})
0.004050484297035515,frozenset({'Nationeel Dried Apples'})
0.004050484297035515,frozenset({'Nationeel Fudge Brownies'})
0.004021132961549751,frozenset({'Ebony Mixed Nuts'})
0.004021132961549751,frozenset({'Booker String Cheese'})
0.004021132961549751,frozenset({'Excellent Orange Juice'})
0.003991781626063986,frozenset({'Steady Childrens Cold Remedy'})
0.0039624302905782215,frozenset({'Moms Roasted Chicken'})
0.003933078955092457,frozenset({'Super Chunky Peanut Butter'})
0.003933078955092457,frozenset({'Great Pumpernickel Bread'})
0.003903727619606692,frozenset({'Better Canned Tuna in Oil'})
0.0038743762841209274,frozenset({'Gerolli Extra Lean Hamburger'})
0.0038743762841209274,frozenset({'Nationeel Golden Raisins'})
0.003845024948635163,frozenset({'Carlson Blueberry Yogurt'})
0.003845024948635163,frozenset({'Ebony Red Delcious Apples'})
0.003845024948635163,frozenset({'Thresher Malted Milk Balls'})
0.0038156736131493983,frozenset({'Carrington Turkey TV Dinner'})
0.0038156736131493983,frozenset({'Sunset Paper Towels'})
0.0038156736131493983,frozenset({'Moms Potato Salad'})
0.003786322277663634,frozenset({'Better Canned Tomatos'})
0.003786322277663634,frozenset({'Best Wheat Puffs'})
0.003786322277663634,frozenset({'Skinner Strawberry Drink'})
0.0037569709421778692,frozenset({'Super Extra Chunky Peanut Butter'})
0.0037569709421778692,frozenset({'Carlson Buttermilk'})
0.0037569709421778692,frozenset({'Tell Tale Fresh Lima Beans'})
0.0037569709421778692,frozenset({'Hilltop Mint Mouthwash'})
0.0037569709421778692,frozenset({'Booker 1% Milk'})
0.0037569709421778692,frozenset({'Modell Rye Bread'})
0.0037569709421778692,frozenset({'Better Fancy Canned Clams'})
0.0037569709421778692,frozenset({'Better Chicken Ramen Soup'})
0.0037569709421778692,frozenset({'Tri-State Almonds'})
0.0037569709421778692,frozenset({'Moms Beef Bologna'})
0.0037569709421778692,frozenset({'Sunset Paper Plates'})
0.0037569709421778692,frozenset({'ADJ Rosy Sunglasses'})
0.0037276196066921047,frozenset({'Hermanos Fresh Lima Beans'})
0.0037276196066921047,frozenset({'Best Choice Salsa Dip'})
0.0037276196066921047,frozenset({'Good Chablis Wine'})
